127.0.0.1, 2019-05-18 14:35:28, GET, /hw4/default/products/new/r_products, HTTP/1.1, 200, 0.075000
127.0.0.1, 2019-05-18 14:35:28, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-05-18 14:35:53, GET, /hw4/default/products/new/r_products, HTTP/1.1, 200, 0.084000
127.0.0.1, 2019-05-18 14:35:53, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-05-18 14:35:57, GET, /hw4/default/products/new/r_products, HTTP/1.1, 200, 0.078000
127.0.0.1, 2019-05-18 14:35:57, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-05-18 14:36:37, GET, /hw4/default/products/new/r_products, HTTP/1.1, 200, 0.088000
127.0.0.1, 2019-05-18 14:36:37, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-05-18 14:36:44, POST, /hw4/default/products/new/r_products, HTTP/1.1, 303, 0.056000
127.0.0.1, 2019-05-18 14:36:44, GET, /hw4/default/products, HTTP/1.1, 200, 0.067000
127.0.0.1, 2019-05-18 14:36:44, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-05-18 14:37:02, GET, /hw4/default/products, HTTP/1.1, 200, 0.097000
127.0.0.1, 2019-05-18 14:37:03, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
